Modele,Scenario,F1,Precision,Recall,PR-AUC,Evasion%
Baseline (sans défense),Propres,0.9109858747877606,0.9878656703262264,0.845208268742511,0.9881082574429519,15.479173125748904
Baseline (sans défense),PGD,0.8305806364015479,0.9857391144208746,0.7176242867078372,0.9781989240185794,28.237571329216276
Approche 1 — FGSM-AT,Propres,0.8971480804387568,0.9868186891080747,0.8224164369328227,0.9871691346798502,17.758356306717722
Approche 1 — FGSM-AT,PGD,0.7700055560369655,0.9829390177246818,0.6329006795652793,0.969772407892666,36.709932043472065
Approche 2 — PGD-AT,Propres,0.8942644873699851,0.98405175883442,0.8194920438072414,0.9861662248909459,18.050795619275856
Approche 2 — PGD-AT,FGSM,0.7484371765679984,0.9785518071963085,0.605944310840365,0.9611959603935535,39.4055689159635
Approche 2 — PGD-AT,PGD,0.7424566220017574,0.9782817210194574,0.5982436882546652,0.9603591106064366,40.17563117453348
